Date,GDP,CPI,inflation,housing,federal_funds,bank_loan,employment_rate,unemployment_rate,consumer_confidence,bonds_price,mortgage_rates,public_debt,total_debt,debt,bonds_issued,IRS Tax,bonds_sentiment,economy_sentiment,housing_market_sentiment,taxes_sentiment,loans_sentiment,interest_rates_sentiment,recession_sentiment,unemployment_sentiment,inflation_sentiment
2022-03-01,25000000000000.0,283716.0,6.4,800000.0,0.2,3.37,60.1,3.6,59.4,,,,,,,,0.5847783335306517,,0.7066512760592862,0.6764575372669724,0.9008621661150952,0.5014568992792683,0.17233501532744808,0.5413552381387514,
2022-03-02,,,,,,,,,,460.9,,23800000000000.0,30300000000000.0,30233333333333.332,,,0.5666983226864342,,0.849652138243309,0.6541294881620208,0.8453829724339006,0.3544907402400264,0.15597252323536992,0.39321961043890247,
2022-03-03,,,,,,,,,,462.22,3.76,23800000000000.0,30200000000000.0,30233333333333.332,,,0.5813915928921837,,0.6801404469189657,0.6594123698655097,0.8101514260469974,0.5063764735446324,0.17505050170917527,0.45447599455780285,
2022-03-04,,,,,,,,,,464.87,,23800000000000.0,30200000000000.0,30266666666666.668,,,0.54441458212156,,0.6173692728009126,0.6594899350642008,0.827968693513758,0.45250943299007235,0.12094317004751495,0.5661418924606544,
2022-03-05,,,,,,,,,,,,,,,,,0.5172369886269679,,0.6579298230314921,0.5688555963275711,0.8309771196569692,0.44372584022381967,0.18452617544760122,0.48574481096429994,
2022-03-06,,,,,,,,,,,,,,,,,0.5092546274526244,,0.7688044285821766,0.5694763568384007,0.9089185818983956,0.4040382228032689,0.1363051608916395,0.36782908257327707,
2022-03-07,,,,,,,,,,463.6,,23800000000000.0,30300000000000.0,30266666666666.668,,,0.4521207400444499,,0.6988946758713926,0.6099962053078191,0.8848556567827958,0.48994212480522165,0.12462985160031068,0.37280052181959383,
2022-03-08,,,,,,,,,,461.55,,23800000000000.0,30300000000000.0,30233333333333.332,,,0.6124714235454385,,0.6625739129097521,0.6034908384890496,0.8135639866022549,0.4295953816071753,0.13150149287011006,0.4694211897396153,
2022-03-09,,,,,,,,,,459.94,,23800000000000.0,30200000000000.0,30200000000000.0,,,0.5976154964006742,,0.8842150970765074,0.6436977863156353,0.8364536366924965,0.46279461564766644,0.14676413119885104,0.4750718346597849,
2022-03-10,,,,,,,,,,458.26,3.85,23700000000000.0,30200000000000.0,30200000000000.0,,13909126030.714285,0.5653917598634485,,0.7575276242266517,0.6543017638299133,0.8765747078601323,0.4593562699370619,0.16862526533616262,0.5017251987339811,
2022-03-11,,,,,,,,,,458.26,,23700000000000.0,30200000000000.0,30233333333333.332,,13383080010.428572,0.5557989702247776,,0.67023120612829,0.648145563628391,0.8920616549577881,0.4569944462773483,0.11889867843424146,0.4335810784423717,
2022-03-12,,,,,,,,,,,,,,,,,0.5654120638942635,,0.7355615580564265,0.585838338693818,0.8728528503675678,0.8208368970282924,0.1244311619723583,0.35504176674267707,
2022-03-13,,,,,,,,,,,,,,,,,0.4533868610785961,,0.7145808074841843,0.5992632255328587,0.9237314591136376,0.4400249937632154,0.16553080895563502,0.49054888113303796,
2022-03-14,,,,,,,,,,454.61,,23700000000000.0,30200000000000.0,30266666666666.668,,17438972427.857143,0.5355782237176597,0.5186587633042491,0.719653407020026,0.6184009001111536,0.8101498460201221,0.4938408905295705,0.1388487129368385,0.5496311719107475,
2022-03-15,,,,,,,,,,454.47,,23800000000000.0,30300000000000.0,30300000000000.0,,17787149049.0,0.543533397875199,0.564884265475514,0.7108459826511059,0.6467393258371591,0.8109412476582429,0.45061959639246435,0.12966556748002445,0.3846158178332209,
2022-03-16,,,,,,,,,,454.59,,23800000000000.0,30300000000000.0,30300000000000.0,,17985756393.57143,0.5988056968163835,0.5285787408467721,0.8900925671883038,0.5926006444730295,0.789185702591006,0.35294885364493983,0.14151924445795724,0.4766662400039251,
2022-03-17,,,,,,,,,,453.73,4.16,23800000000000.0,30300000000000.0,30300000000000.0,,18112479645.0,0.6261222925446729,0.5784966601293969,0.7307208331128653,0.6148105166161686,0.8643006325103624,0.40518812827807515,0.21395199160740272,0.4771248586716879,
2022-03-18,,,,,,,,,,454.8,,23800000000000.0,30300000000000.0,30300000000000.0,,18447673876.0,0.5899924007717575,0.5514805533740008,0.6361385143527942,0.7028828101167941,0.8645851541424052,0.37624502123100434,0.16845639147880714,0.46035055134892383,
2022-03-19,,,,,,,,,,,,,,,,,0.5278061252475665,0.6026740731516043,0.6814925044182037,0.5334522443042836,0.8825287692290825,0.3991010435661457,0.18953169021685196,0.4819002680562717,
2022-03-20,,,,,,,,,,,,,,,,,0.5937417253344855,0.5085486434209803,0.8843758005104649,0.5096048056446757,0.8733476315420514,0.23650459851429972,0.18207114149283193,0.3167076138058607,
